prop_0,SLICES
-2.0,Li Li Cr Cr Cr Cr O O O O O O 0 7 ooo 0 8 ooo 0 10 oo+ 0 11 ooo 0 11 oo+ 0 9 ooo 0 11 o+o 1 9 ooo 1 6 oo- 1 11 ooo 1 6 ooo 1 9 ooo 2 7 o+o 2 8 ooo 2 6 ooo 2 7 oo- 3 8 ooo 3 8 ooo 3 9 +oo 3 10 ooo 3 6 ooo 4 7 +oo 4 9 oo+ 4 11 oo+ 4 8 ooo 4 6 ooo 5 9 ooo 5 8 ooo 5 7 ooo 5 8 +oo 5 11 -oo 5 8 ooo
-2.0,Li Li Li Li Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge 0 10 --- 0 6 ooo 0 11 ooo 0 11 ooo 0 10 --o 0 10 --o 0 7 -oo 0 4 o-- 0 7 ooo 0 9 --o 0 11 -oo 0 9 -oo 0 6 --o 0 6 -oo 0 5 ooo 1 7 -oo 1 6 o-o 1 12 ooo 1 8 ooo 1 13 -oo 1 8 ooo 1 6 o-- 1 10 ooo 1 12 oo+ 1 10 +oo 1 13 ooo 2 9 ooo 2 10 ooo 2 6 ooo 2 7 o-o 2 12 ooo 3 13 -oo 3 9 ooo 3 6 o-o 3 13 ooo 3 13 -oo 3 10 ooo 3 7 ooo 3 13 ooo 3 5 o+o 4 8 o-o 4 6 ooo 4 13 o-o 4 12 ooo 5 12 +oo 4 12 +oo 5 8 ooo 5 12 oo+ 6 12 ooo 7 8 ooo
-3.0,Na Na Na Na V V V V F F F F F F F F F F 0 9 -oo 0 10 ooo 0 12 -oo 0 13 ooo 0 7 ooo 0 10 ooo 1 6 ooo 1 11 ooo 1 15 o-o 1 13 ooo 2 12 ooo 2 12 ooo 2 8 ooo 2 11 ooo 2 10 +oo 3 11 o+o 3 9 ooo 3 10 o+o 3 6 o-o 3 7 oo+ 4 13 ooo 4 12 ooo 4 9 oo+ 4 9 -oo 5 7 ooo 5 14 ooo 5 12 +oo 5 11 o+o 6 11 o-o 6 10 ooo 6 12 ooo 7 8 -oo 8 15 ooo 8 15 ooo 8 10 o+o 8 9 ooo 9 15 ooo 10 11 oo+ 10 11 o+o 9 11 oo+ 11 14 ooo 12 16 o+o 10 15 ooo 13 15 +oo 11 13 +oo 12 17 ooo 11 17 +oo 12 13 ooo 12 14 +oo 14 16 +oo 11 14 ooo 14 16 o+o
-3.0,Ba Ba Ba Bi O O O O O O 0 7 ooo 0 7 o+o 0 6 oo+ 0 6 o+o 0 6 +oo 0 5 +oo 0 5 o+o 0 7 +oo 0 4 oo+ 0 5 +oo 0 9 ++o 0 8 ooo 1 5 oo- 1 8 -oo 1 7 ooo 1 7 ooo 1 4 -oo 1 4 ooo 1 6 ooo 1 6 ooo 1 8 ooo 2 9 ooo 2 9 -oo 2 8 ooo 2 7 ooo 2 9 ooo 2 7 ooo 2 9 ooo 3 8 ooo 3 7 ooo 3 6 oo+ 3 8 oo+ 3 4 ooo 3 6 ooo 3 9 o+o 3 6 +oo 4 6 +oo 4 7 ooo 4 6 o-o 5 8 ooo 5 7 ooo 5 8 o+o 5 9 oo+ 6 8 ooo 7 9 ooo
-3.0,K K K K Cl Cl Cl Cl Cl Cl Cl Cl 0 9 -oo 0 8 ooo 0 6 oo- 0 6 ooo 0 9 o-o 0 10 oo+ 0 7 ooo 0 9 oo- 0 8 o-o 0 7 ooo 0 6 -oo 1 10 oo- 1 8 o+o 1 8 ooo 1 6 ooo 1 6 ooo 1 11 o+o 1 5 o-o 1 10 ooo 1 9 o-o 1 9 -oo 1 10 o+o 2 11 ooo 2 8 oo- 2 10 ooo 2 5 ooo 2 9 ooo 2 7 oo+ 2 6 --o 2 6 oo- 2 9 oo+ 2 5 ooo 3 7 ooo 3 7 ooo 3 8 oo- 3 11 ooo 3 4 ooo 3 5 ooo 3 9 --o 3 7 ooo 3 8 ooo 4 6 --o 4 5 -o- 4 8 ooo 4 7 -o- 4 9 -oo 5 9 oo- 5 8 oo- 6 7 ooo 5 6 -o- 6 8 -oo 6 8 o-o 6 8 ooo 7 8 +oo 7 8 -oo 7 8 +oo 8 9 ooo
-3.0,Li Li Mn Mn O O O O O O 0 7 ooo 0 9 o+o 0 9 --o 0 8 -oo 0 7 -oo 0 8 o-o 0 6 o-o 0 9 oo- 0 6 o-- 1 6 ooo 1 7 -oo 1 7 ooo 1 7 ooo 1 7 ooo 1 7 ooo 2 8 ooo 2 5 o+o 2 6 +oo 2 5 ooo 2 4 ooo 3 8 ooo 3 8 ooo 3 9 ooo 3 4 +oo 3 6 o+o 4 6 +oo
-3.0,Mg Zn O O O 0 4 --- 0 4 -oo 0 4 o-o 0 4 --o 0 3 --o 0 3 ooo 0 3 -oo 0 3 ooo 0 3 o-- 0 3 -oo 0 2 o-o 0 2 ooo 1 3 ooo 1 2 oo+ 1 2 --o 1 3 +oo 1 2 +oo
-3.0,Ba Ba Ba Ba Cu Cu Cu Cu O O O O O O O O O O O O 0 10 -oo 0 18 -oo 0 15 ooo 0 14 ooo 0 12 +oo 0 11 ooo 0 10 -oo 0 18 ooo 0 12 oo- 0 9 +oo 0 11 ooo 0 15 ooo 1 15 o-o 1 18 ooo 1 12 +oo 1 16 ooo 1 17 ooo 1 14 o+o 1 16 +oo 1 17 ooo 1 9 ooo 2 14 o+o 2 18 +oo 2 14 ooo 2 16 ooo 2 11 ooo 2 19 o+o 2 16 +oo 3 17 ooo 3 16 o+o 3 13 ooo 3 9 ooo 3 14 ooo 3 19 ooo 3 19 ooo 3 13 ooo 3 17 o+o 3 9 ooo 3 17 ooo 4 14 ooo 4 16 +oo 4 19 ooo 4 15 o+o 4 17 oo+ 4 13 +oo 4 10 oo+ 5 19 ooo 5 18 o+o 5 14 ooo 5 18 ooo 6 16 ooo 6 9 ooo 6 18 ooo 6 18 +oo 6 11 oo- 7 16 oo+ 6 14 ooo 6 17 ooo 7 19 ooo 7 19 ooo 7 15 +oo 7 11 +oo 7 14 ooo 7 14 ooo 7 14 ooo 8 15 ooo 8 16 +oo 9 18 o+o 12 19 o-o 8 16 ooo 9 18 ooo 8 13 -oo 9 18 ooo 13 18 ooo 10 14 ooo 13 17 -oo 10 17 oo+ 13 19 ooo 12 18 o+o 12 16 ooo 13 17 ooo 12 18 ooo
-4.0,Tb Tb Tb Tb Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl Cl 0 18 ooo 0 13 ooo 0 17 ooo 0 13 oo- 0 17 oo- 0 13 ooo 0 9 ooo 0 19 ooo 0 13 ooo 0 14 ooo 0 17 ooo 1 18 ooo 1 13 o+o 1 18 ooo 1 11 ooo 1 13 ooo 1 12 oo- 1 18 ooo 2 19 ooo 2 10 o+o 2 19 ooo 2 17 ooo 2 12 ooo 2 16 +oo 2 14 +oo 2 19 oo+ 3 14 ooo 3 14 +oo 3 17 ooo 3 14 +oo 3 12 ooo 3 17 +oo 3 18 -oo 3 14 -oo 3 19 ooo 3 19 -oo 3 19 o+o 4 13 oo+ 4 17 o+o 4 12 ooo 4 18 o+o 4 14 ooo 4 19 ooo 5 12 o+o 5 18 -oo 5 18 ooo 5 18 oo- 6 14 ooo 6 18 ooo 6 19 o-o 6 10 ooo 6 14 ooo 6 15 oo+ 7 16 o-o 7 18 -oo 7 18 ooo 7 16 ooo 7 12 ooo 7 17 oo- 8 18 -oo 9 19 ooo 8 18 o-o 9 16 ooo 9 13 o-o 8 17 o-o 9 18 ooo 10 13 oo- 10 19 oo+ 14 19 oo+ 12 18 ooo
-4.0,Ba Ba Ba Ba Ca Ca O O O O O O O O O O O O O O 0 12 -oo 0 12 ooo 0 12 ooo 0 13 oo- 0 15 ooo 0 18 ooo 0 13 ooo 0 17 ooo 0 9 ooo 1 16 +oo 1 17 ooo 1 15 ooo 1 12 o+o 1 14 o+o 1 14 ooo 1 18 o+o 2 17 ooo 2 11 ooo 2 15 ooo 2 19 -oo 2 16 ooo 3 18 ooo 3 18 ooo 3 18 ooo 3 16 ooo 3 18 ooo 3 9 +oo 4 16 ooo 4 10 o+o 4 16 ooo 4 16 ooo 4 17 ooo 5 18 ooo 5 14 ooo 5 9 ooo 5 12 ooo 6 9 ooo 6 18 ooo 6 19 o-o 6 19 ooo 7 15 ooo 6 13 ooo 7 12 ooo 7 13 ooo 7 10 ooo 7 18 oo+ 8 17 ooo 8 14 o+o 8 17 o+o 8 15 ooo 9 12 ooo 10 17 -oo 9 11 oo- 10 15 ooo 9 14 ooo 9 18 ooo 12 18 ooo 12 14 ooo 12 15 ooo 11 14 ooo
-4.0,Sr Sr Sr Sr Ti Ti O O O O O O O O O O O O O O 0 19 ooo 0 14 o+o 0 19 -oo 0 11 -oo 0 17 oo- 0 16 ooo 0 16 oo- 0 17 ooo 0 16 ooo 0 8 -oo 0 9 ooo 1 9 +oo 1 19 o+o 1 10 ooo 1 10 ooo 1 18 o-o 1 14 o-o 1 14 ooo 1 15 o+o 1 16 ooo 2 14 ooo 2 16 o+o 2 15 o+o 2 14 ooo 2 10 ooo 2 17 oo+ 2 15 oo- 3 19 o+o 3 13 ooo 3 18 ooo 3 19 oo+ 3 19 +oo 3 12 ooo 3 10 o+o 4 17 ooo 3 18 ooo 4 18 ooo 4 17 oo+ 4 12 oo+ 4 12 ooo 4 16 o-o 4 13 ooo 5 17 ooo 5 18 oo- 5 9 ooo 5 14 ooo 6 17 ooo 6 17 +oo 6 16 oo+ 6 18 ++o 7 15 ooo 7 10 ooo 7 10 +oo 7 15 o+o 7 19 ooo 8 15 ooo
-4.0,Na Na V V O O O O O O 0 7 ooo 0 8 o+o 0 7 ooo 0 9 ooo 0 6 +oo 0 5 oo+ 0 4 +oo 0 5 o+o 0 5 -oo 0 6 o-o 0 9 oo- 0 9 ooo 1 8 ooo 1 7 ooo 1 7 -oo 1 5 oo- 1 8 -oo 1 4 o-o 1 5 o-o 1 6 oo- 1 6 oo+ 1 8 +oo 1 8 -oo 2 6 oo- 2 6 ooo 2 9 ooo 2 7 oo+ 2 4 ooo 3 7 ooo 3 9 ooo 3 6 ooo 3 9 ooo 3 7 ooo 4 9 o+o 4 6 o+o 4 8 ooo 5 6 ooo
-4.0,Cs Cs Rb Rb Cl Cl Cl Cl Cl Cl 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 oo- 0 6 ooo 0 5 +oo 0 6 +oo 0 7 oo+ 0 7 +oo 0 8 -oo 0 8 o-o 0 9 o-o 0 9 ooo 0 9 o-- 0 9 ooo 0 9 oo- 0 9 o-o 0 9 oo- 1 8 ooo 1 8 oo- 1 6 ooo 1 6 oo- 1 9 oo- 1 8 ooo 1 7 o-o 1 7 ooo 1 4 ooo 1 6 ooo 1 5 ooo 1 4 ooo 1 6 --o 1 4 -oo 1 9 ooo 1 8 ooo 2 5 ooo 2 4 ooo 2 9 ooo 2 5 ooo 2 9 ooo 2 7 ooo 3 5 ooo 3 7 ooo 3 9 ooo 3 6 --o 3 7 ooo 3 5 --o 3 7 ooo 3 8 ooo 4 6 o+o
-4.0,Na Na Na Nb O O O O O O 0 9 ooo 0 8 ooo 0 9 oo+ 0 9 ooo 0 7 -oo 0 9 ooo 0 8 ooo 0 8 +oo 1 7 -oo 1 6 o-o 1 6 oo- 1 6 ooo 1 5 ooo 1 9 ooo 1 7 o+o 1 7 ooo 2 8 +oo 2 9 ooo 2 5 +oo 2 9 ooo 3 6 ooo 3 8 +oo 3 9 ooo 3 8 o+o 3 4 ooo 3 9 oo+ 4 6 ooo 4 6 ooo 4 6 ooo 4 6 ooo 5 9 ooo 5 8 ooo 5 7 ooo 6 7 +oo
-4.0,Mn Mn Mn Mn O O O O O O O O 0 9 --o 0 9 o-- 0 8 ooo 0 9 o-o 0 11 o-o 0 10 ooo 0 5 ooo 0 9 ooo 1 5 oo- 1 5 o-o 1 10 ooo 1 5 ooo 2 11 -oo 1 6 ooo 2 11 oo- 2 4 ooo 3 9 ooo 3 8 o-o 3 9 ooo 3 7 ooo 3 7 o-o 3 8 +oo 4 8 oo- 4 10 +oo 4 9 ooo 4 6 +oo 4 8 ooo 4 9 +oo 5 9 ooo 5 8 +oo 5 10 ooo 5 11 ooo 6 7 ooo 6 7 ooo
