bandgap,eform,SLICES
2.0,-1.0,K K K K Pr Pr H H I I I I I I I I I I I I 0 8 ooo 0 8 +oo 0 9 ooo 0 9 o+o 0 10 o+o 0 10 o+o 0 12 ooo 1 12 +oo 1 11 ooo 1 11 +oo 1 13 ooo 1 13 ooo 1 8 +oo 1 9 o+o 2 9 o-o 2 13 ooo 2 19 -oo 2 10 ooo 2 16 o-o 2 15 o-o 2 14 -oo 3 8 ooo 3 18 ooo 3 18 -oo 3 17 ooo 3 19 -oo 3 15 o-o 3 11 ooo 4 18 oo- 4 13 oo- 4 11 ooo 4 16 oo- 4 8 --o 4 10 -o- 5 12 ooo 5 17 o-o 5 9 ooo 5 8 ooo 5 12 ooo 5 13 ooo 6 10 ooo 6 15 ooo 6 15 ooo 6 14 ooo 6 19 ooo 6 16 ooo 7 17 ooo 7 18 ooo 7 11 ooo 7 13 ooo 7 16 ooo 7 18 --o
2.0,-1.0,K Cl Br K Au 1 2 ooo 1 2 -oo 1 0 ooo 1 0 o-o 1 4 oo- 1 4 -o- 0 3 ooo 3 4 ooo 3 4 -oo 3 2 o--
2.0,-1.0,S In K In S S S Ag Ag K S 2 4 oo- 2 6 ooo 2 10 o-o 2 5 +oo 2 5 ooo 9 10 ooo 9 0 ooo 9 6 oo+ 9 4 o+o 9 5 -oo 1 10 o-o 1 5 ooo 1 4 o-o 1 6 ooo 1 0 ooo 8 10 ooo 8 4 o+o 8 6 ++o 8 0 ooo 8 5 +oo 7 10 ooo 7 5 --o 7 4 ooo 7 0 ooo 3 4 ooo 3 6 ooo 3 0 -oo 3 10 ooo 3 5 ooo
2.0,-1.0,K K K K Ca Ca P P Se Se Se Se Se Se Se Se 0 8 o-- 0 11 ooo 0 12 o-o 0 15 oo- 0 13 ooo 1 9 ooo 1 10 o-o 1 14 ooo 1 13 o-o 1 12 ooo 2 13 --o 2 15 ooo 2 14 ooo 2 13 --o 2 9 -oo 2 10 o-o 2 11 --- 2 8 oo- 3 12 ooo 3 15 ooo 3 14 oo- 3 13 ooo 3 8 oo- 3 11 ooo 4 11 oo+ 4 8 ooo 4 13 ooo 4 10 +o+ 4 9 ooo 4 12 ooo 5 14 +oo 5 12 -oo 5 9 -oo 5 10 ooo 5 8 ooo 5 11 ooo 6 9 ooo 6 10 ooo 6 14 ooo 6 13 ooo 7 11 o++ 7 15 +++ 7 8 +oo 7 12 ooo
2.0,-1.0,P P K K K K K P K Li 0 2 o+o 0 4 oo- 0 5 ooo 0 6 ooo 0 7 oo- 0 7 ooo 1 4 +oo 1 5 oo- 1 6 ooo 1 3 +oo 1 3 +o- 1 2 ++o 2 8 oo- 2 8 ooo 2 6 ooo 2 6 o-o 2 9 oo- 2 9 ooo 2 7 o-- 2 7 o-o 3 8 oo- 3 8 ooo 3 9 oo- 3 9 ooo 3 7 ooo 3 7 -o- 4 8 oo- 4 9 oo+ 4 7 oo- 4 7 ooo 4 6 ooo 4 6 oo+ 4 6 -oo 4 6 o+o 4 9 o++ 4 9 o+o 4 8 o+o 4 8 ooo 5 9 oo+ 5 6 ooo 5 9 oo+ 5 7 ++o 5 7 o+o 5 7 +oo 5 8 ooo 5 8 +oo 5 8 +o+ 5 8 ooo 5 6 oo+ 5 9 ooo 7 9 oo+ 7 9 ooo 7 8 oo+ 7 8 ooo 8 9 oo+ 9 8 ooo
2.0,-1.0,Ag Cl Ag Be 0 1 +oo 0 1 o+o 0 1 oo+ 0 2 ooo 0 2 -oo 0 2 o-o 3 1 oo- 3 1 o+o
2.0,-1.0,K K Ge Ge S S S S S S S 0 6 +oo 0 4 ooo 0 7 o+o 0 5 o+o 0 10 +oo 0 8 ooo 0 8 o+o 0 9 ooo 0 9 +oo 1 10 ooo 1 8 -oo 1 7 o-o 1 5 ooo 1 6 o-o 1 6 ooo 1 4 o-o 1 3 -oo 1 9 -oo 2 5 --o 2 10 oo- 2 6 o-o 2 8 o-- 2 7 -oo 3 10 ooo 3 9 ooo 3 8 ooo 4 5 ooo 4 6 ooo 7 7 ooo
2.0,-1.0,K K Al Sb Te Te Te Te 0 7 -o+ 0 7 ooo 0 4 o-o 0 4 -oo 0 5 -oo 0 5 --o 0 6 ooo 0 6 --+ 1 7 oo+ 1 7 o-+ 1 6 o-o 1 5 -oo 1 4 o-o 1 4 -o+ 1 5 -oo 1 5 -oo 2 5 -oo 2 4 ooo 2 6 -oo 2 7 ooo 3 6 oo+ 3 7 ooo 3 4 ooo 3 5 o-o
2.0,-1.0,K K K K Zn Zn Si Si Se Se Se Se Se Se Se Se 0 13 ooo 0 13 -oo 0 10 ooo 0 15 ooo 0 12 ooo 1 14 ooo 1 8 oo+ 1 14 ooo 1 10 +oo 1 9 ooo 2 13 ooo 2 14 ooo 2 10 ooo 2 9 -oo 2 8 oo+ 3 15 +oo 3 11 ooo 3 11 ooo 3 8 ooo 3 12 ooo 4 12 ooo 4 15 +oo 4 11 ooo 4 9 ooo 5 8 o+o 5 10 oo- 5 13 ooo 5 14 -o- 6 15 ooo 6 12 ooo 6 14 ooo 6 13 ooo 7 8 ++- 7 11 ooo 7 9 ooo 7 15 +oo
2.0,-1.0,K Br Sn Br K Pb Br Br Br Sn Br 0 7 -oo 0 1 oo+ 0 3 ooo 0 8 ooo 0 6 ooo 4 1 +oo 4 7 oo- 4 3 ooo 4 6 ooo 4 8 ooo 4 1 ooo 2 1 ooo 2 3 ooo 2 6 ooo 2 7 o+o 2 8 o++ 9 7 ooo 9 7 ooo 9 10 o-o 9 8 ooo 9 6 o-o 9 3 o-o 5 3 ooo 5 10 ooo
2.0,-1.0,K K K K Na Na Sn Sn Se Se Se Se Se Se Se Se 0 12 o-- 0 15 ooo 0 8 o-- 0 11 ooo 0 9 ooo 0 10 o-- 1 13 o-o 1 14 ooo 1 9 ooo 1 10 o-o 1 8 o-- 1 11 oo+ 2 12 --- 2 15 oo+ 2 14 ooo 2 13 --o 2 9 -oo 2 10 o-o 3 13 oo+ 3 14 ooo 3 12 ooo 3 15 oo+ 3 8 ooo 3 11 oo+ 4 10 ooo 4 9 -o- 4 11 -oo 4 8 oo- 4 15 ooo 4 12 -o- 5 11 ooo 5 8 +oo 5 10 +oo 5 9 ooo 5 14 +oo 5 13 ooo 6 10 ooo 6 9 ooo 6 14 ooo 6 13 ooo 6 12 ooo 6 15 ooo 7 11 oo+ 7 8 +-o 7 12 o-o 7 15 +o+ 7 13 o-o 7 14 +o+
2.0,-1.0,S Si K Si K S S S S S Si 2 5 ooo 2 6 ooo 2 0 ooo 2 8 ooo 2 9 o-o 2 10 -oo 4 9 ooo 4 8 ooo 4 5 ooo 4 0 ooo 4 6 +oo 4 7 ooo 3 6 ooo 3 10 o+o 3 9 ooo 3 7 -o- 3 8 oo- 3 5 -oo 1 0 o-o 1 8 ooo 1 6 +o+ 1 10 oo+
2.0,-1.0,Ge S S S Ge S S S S Ge Ge S Ge S 0 1 ooo 0 8 -oo 0 6 -oo 0 7 ooo 0 5 -oo 0 2 ooo 9 1 +oo 9 6 ooo 9 11 ooo 9 2 +oo 9 8 ooo 9 7 oo+ 10 7 o+o 10 1 o-o 10 5 ooo 10 2 oo- 10 6 oo- 12 8 oo- 12 13 ooo 12 3 ooo 12 2 +oo 12 3 ooo 4 7 o-o 4 11 oo+ 4 11 ooo 4 13 o-o 4 3 ooo 4 2 o-o 13 6 ooo 13 5 oo+ 13 11 o-o 13 8 o-+
2.0,-1.0,K K S Cd I K H I I I 0 8 ooo 0 8 +oo 0 4 +oo 0 4 ooo 0 2 +oo 0 7 o+o 0 6 o+o 1 7 oo- 1 7 +o- 1 9 ooo 1 9 o+- 1 8 oo- 1 6 ooo 1 6 +oo 5 7 ooo 5 6 o-o 5 9 -oo 5 9 ooo 5 2 oo+ 5 2 -o+ 5 8 ooo 3 6 ooo 3 8 -oo 3 4 ooo 3 4 ooo 3 9 oo- 3 2 ooo 3 7 oo-
2.0,-1.0,Te Se Se Se Se K K K Te Se Se Se K K Se Te 4 15 -oo 4 3 ooo 4 0 --o 4 2 o-o 5 8 o-o 5 15 ooo 5 11 ooo 5 1 +-o 5 13 ooo 6 0 ooo 6 1 ooo 6 13 ooo 6 3 oo+ 6 2 oo+ 7 2 ooo 7 0 +oo 7 3 +oo 7 11 ooo 9 8 ooo 9 11 ooo 9 1 +o- 9 13 +oo 10 13 ooo 10 8 ooo 12 0 ooo 12 13 -oo 12 3 oo- 12 1 o-- 14 13 ooo 14 2 oo- 14 15 +oo 14 11 ooo
2.0,-1.0,I K I K I Ge I Sn K I 1 0 ooo 1 2 ooo 1 3 ooo 1 6 ooo 1 4 ooo 1 7 ooo 8 6 o-o 8 9 ooo 8 7 -oo 8 2 o-+ 8 0 -o+ 8 4 --+ 5 6 ooo 5 7 o+o 5 9 +oo 5 4 ooo 5 2 +oo 5 0 o+o 3 4 -oo 3 0 ooo 3 2 o-o 3 6 oo- 3 7 oo- 3 9 oo-
2.0,-1.0,K K Rb Br 2 3 -oo 2 3 -o- 2 3 o-- 2 3 ooo 2 0 o-o 2 0 oo- 0 3 oo- 0 3 +o- 1 3 o+o 1 3 o+- 1 3 ooo 1 3 -oo
2.0,-1.0,Bi Bi S S Cl Cl Cl Cl Cl Cl Cl 0 6 ooo 0 9 ooo 0 9 oo- 0 7 ooo 0 7 +oo 1 6 oo+ 1 6 ooo 1 4 ooo 1 8 -oo 1 8 ooo 1 5 -oo 1 5 ooo 2 7 o-o 2 5 oo+ 2 4 o-o 2 10 ooo 3 10 ++o 3 10 o+o 3 4 ooo
2.0,-1.0,S S Br Br K K Ag Ag 0 6 ooo 0 7 oo+ 0 4 o++ 0 4 +++ 0 4 ooo 0 2 ooo 0 2 o+o 1 7 +oo 1 6 ooo 1 6 o-o 1 2 ooo 1 2 ooo 1 3 +oo 1 3 oo- 5 7 ooo 5 6 ooo 5 2 o+o 5 3 +oo 5 3 ooo 5 3 ++o
2.0,-1.0,I I K K Hg 0 3 ooo 0 3 oo+ 1 3 ooo 1 3 o+o 1 4 ooo 1 4 oo- 2 3 ooo 2 3 +oo 2 4 o-o 2 4 ooo
2.0,-1.0,Se In Br In Br In 1 3 +oo 1 3 ooo 1 0 oo+ 1 2 ooo 1 2 -oo 5 0 -o+ 5 0 o+o 5 3 ooo 5 2 ooo 5 4 o++ 4 3 ooo
2.0,-1.0,Rb H H Se Rb Se 1 0 oo+ 1 0 -oo 1 0 o++ 1 2 oo+ 1 2 ooo 3 0 +o+ 3 0 o+o 3 0 ++o 3 5 ++o 4 0 ooo 4 5 ++o 4 2 +oo 4 2 +oo 4 2 ooo 4 2 ooo 4 5 ++o 5 0 ++o 5 0 ooo 5 0 ooo
2.0,-1.0,K K K K Te Te Br Br Br Br Br Br Br Br Br Br Br Br 0 16 ooo 0 14 oo- 0 12 oo- 0 11 o+- 0 15 +oo 0 9 o+o 1 12 ooo 1 16 ooo 1 13 oo+ 1 17 -oo 1 8 ooo 1 6 -oo 2 10 o-o 2 11 o-o 2 13 ooo 2 17 ooo 2 16 ooo 2 7 ooo 2 8 o-+ 3 11 -oo 3 13 ooo 3 15 o+- 3 9 o+o 3 12 oo- 3 6 ooo 3 14 ooo 4 10 +-o 4 11 o-o 4 15 o-o 4 9 ooo 5 13 -+o 5 16 -oo 5 8 ooo 5 7 ooo
2.0,-1.0,K K Tm Tl Ag Se Se Se 0 7 o-o 0 7 +-o 0 6 +oo 0 6 ooo 0 5 o-o 0 4 ooo 1 6 ooo 1 7 ooo 1 5 ooo 1 5 -oo 1 4 ooo 1 4 -oo 2 5 --- 2 5 o-- 2 4 -oo 2 4 ooo 2 7 o-o 2 6 oo- 3 4 ooo 3 5 oo- 3 7 ooo 3 7 +oo 3 6 +o- 3 6 oo-
2.0,-1.0,K K Hg Br 0 3 o+o 0 3 +oo 0 3 ++o 0 2 o+- 0 2 +o- 1 3 -oo 1 3 o-o 1 2 ooo 1 2 oo- 1 2 -oo
2.0,-1.0,Ge K Cl Sn 0 2 ooo 0 2 o+o 0 1 oo+ 0 1 o++ 0 1 +o+ 0 1 +oo 1 3 o-- 2 3 ooo
2.0,-1.0,I K I I Cu I K Sn I I K I 1 0 ooo 1 3 ooo 1 5 o+o 1 9 o+o 1 8 ooo 1 2 +oo 6 3 ooo 6 2 o-o 6 8 ooo 6 9 -oo 6 0 o-o 10 0 ooo 10 9 -o- 10 3 ooo 10 2 ooo 10 5 oo- 4 0 ooo 4 8 ooo 4 9 o+o 4 3 ++o 7 2 ooo 7 5 o-- 7 8 oo- 7 3 ooo 11 8 ooo 11 2 --o 11 9 o-o 11 5 oo+
2.0,-1.0,Pb K Br I Hg Br K Hg Br 0 5 ooo 0 2 -oo 0 2 ooo 0 8 oo- 0 8 -o- 0 3 ooo 6 8 +oo 6 8 ooo 6 5 oo+ 6 5 +o+ 1 8 -o- 1 3 --o 1 3 o-o 1 2 --- 1 7 ooo 1 7 --o 4 5 o-o 4 3 ooo 4 8 ooo 4 2 ++o 4 7 o+o 4 7 ooo
2.0,-1.0,K K K K Sn Sn Te Te Se Se Se Se Se Se 0 9 -oo 0 10 o-+ 0 6 ooo 0 8 o-o 0 7 ooo 1 7 ooo 1 11 ooo 1 13 -oo 1 10 ooo 1 12 ooo 2 6 o+- 2 12 ooo 2 13 +oo 2 8 o+- 2 7 oo- 2 9 ooo 3 13 ooo 3 11 ooo 3 12 ooo 3 6 ooo 3 7 oo- 3 8 ooo 4 10 ooo 4 8 +o- 4 9 oo- 4 12 +oo 4 7 oo- 4 6 ooo 5 13 ooo 5 11 o+o 5 9 o+- 5 10 ooo 5 6 +oo 5 8 ++- 5 7 o+-
2.0,-1.0,Tl I I Tl I I I I I I Rb 10 4 -oo 10 6 o-o 10 2 ooo 10 1 ooo 10 5 o-o 10 7 ooo 0 2 +o- 0 7 o-- 0 9 +oo 0 6 o+- 3 1 -o- 3 9 ooo 3 7 o+o 3 4 oo- 3 5 oo- 8 2 ooo 8 6 -oo 8 7 ooo 8 1 --o 8 4 ooo 8 5 --o 8 9 --o
2.0,-1.0,I K K I I I Sn K 1 0 ooo 1 3 oo- 1 4 oo- 1 5 ooo 2 4 o+o 2 0 -oo 2 3 ooo 2 5 ooo 2 4 ooo 2 6 +oo 7 4 oo+ 7 0 ooo 7 5 -oo 7 3 o+o 7 6 o+o 7 0 o++
2.0,-1.0,Ba Ba Te Te N N N N N Ta N P 0 8 o-o 0 6 +-o 0 4 +oo 0 3 ooo 0 7 +o+ 0 2 ooo 1 7 ooo 1 8 ooo 1 6 ooo 1 3 ooo 1 2 ooo 1 4 ooo 1 3 ooo 2 9 -o- 2 10 -oo 2 8 o++ 3 9 ooo 4 11 oo- 5 8 ooo 5 9 o-o 6 10 oo- 7 11 ooo 8 11 oo- 9 10 o+o
2.0,-1.0,K K Ga Ga Sn Sn Se Se Se Se Se 0 8 ooo 0 9 ooo 0 7 +oo 0 5 o-- 0 6 +o- 1 10 o-o 1 6 oo- 1 5 -o- 1 7 o+o 1 9 -oo 2 8 o+- 2 10 ooo 2 6 ooo 2 9 -oo 2 8 o+o 2 5 ooo 3 7 ooo 3 6 +oo 3 10 o-o 3 5 ooo 3 8 ooo 4 7 ooo 4 5 --o 4 10 --o 4 9 --o 4 6 ooo
2.0,-1.0,In In In In In In Br Cl Br Cl Cl Cl 0 8 ooo 0 9 ooo 0 6 +oo 0 7 ooo 1 10 o+o 1 7 +oo 1 6 ooo 1 9 o+o 2 7 ooo 2 8 ooo 2 10 oo+ 2 5 ooo 3 9 ooo 3 6 ooo 3 4 ooo 3 4 o-o 4 11 oo+ 4 10 ooo 4 8 ooo 5 11 ooo 5 8 oo- 5 6 ooo 5 7 o+o
2.0,-1.0,Ge Ge Se Se Se I Cl Cl 0 7 -o- 0 4 o-o 0 6 oo- 0 3 --o 1 3 oo+ 1 7 ooo 1 4 o-o 1 6 +oo 2 6 ooo 2 5 ooo 2 3 ooo
